drinker,beer
Sandra,"Double India Pale Ale"
Patrick,"Nitro Porter"
Cesar,"WPA (Wheat Pale Ale)"
Cesar,"Chocolate Stout"
Daniel,"Zinnebir"
Daniel,"Yuengling Lager"
Daniel,"Biere de Mars"
Christian,"Adriaan"
Christian,"Pabst Blue Ribbon"
George,"La Divine Double Blond"
George,"Zinnebir"
George,"Lump of Coal Dark Holiday Stout"
Amanda,"Witkap-Pater Tripel"
Amanda,"Beer Geek Breakfast"
Mark,"Beer Geek Breakfast"
Mark,"Carnegie Stark-Porter"
Mark,"Amstel"
Victor,"Old Guardian Barley Wine 2007"
Victor,"Adriaan"
Victor,"Modern Monks Belgian Blonde"
Victor,"Full Moon Winter Ale"
Cassandra,"Bigfoot 2005"
Michaela,"Crystal Ale"
Michaela,"Harvest Ale 2002"
Julie,"Okocim Porter"
Julie,"Modern Monks Belgian Blonde"
Julie,"Nut Cracker Ale"
Kristine,"Okocim Porter"
Kristine,"Pride & Joy Mild Ale"
Christine,"Modern Monks Belgian Blonde"
Christine,"Obovoid Empirical Stout"
Travis,"God Jul - Winter Ale"
Travis,"Zinnebir"
Travis,"JuJu Ginger"
Gregory,"Mephistopheles Stout"
Gregory,"Podge Belgian Imperial Stout"
Gregory,"Warrior IPA"
Roger,"Certified Organic India Pale Ale"
Roger,"Crystal Ale"
Kevin,"Podge Belgian Imperial Stout"
Kevin,"Triple Dipsea Belgian"
Kevin,"Trumpeter"
Janet,"Killer Penguin"
Janet,"Petrus Dubbel Bruin Ale"
Janet,"Bond Street 19th Anniversary"
Janet,"Seriously Bad Elf"
Jesse,"Bock"
Jesse,"Beer Geek Breakfast"
Jesse,"Christmas Ale 2007"
Jesse,"Imperial Hefeweizen"
Brianna,"Festive Ale 2007"
Douglas,"Old Bawdy 2006"
Jonathon,"Winter Welcome 2007-2008"
Jonathon,"Petrus Dubbel Bruin Ale"
Jonathon,"Whitetail Wheat"
Jonathon,"Festive Ale 2007"
Paul,"Hitachino Nest Real Ginger Brew"
Paul,"Big Shot Seasonal Ale"
Paul,"Woody Organic IPA"
Christopher,"Odell IPA"
Christopher,"Saison Imperiale"
Christopher,"Witte"
Jeffery,"Adriaan"
Jeffery,"Robert the Bruce Scottish Ale"
Jeffery,"Long Leg English Fuggles Hop Ale"
Charlene,"Isolation Ale"
Charlene,"Imperial Hefeweizen"
Charlene,"Guinness"
Angelica,"Blue Moon"
Angelica,"Cinder Cone Red"
Angelica,"Amstel"
Mitchell,"Witkap-Pater Tripel"
Mitchell,"Fat Belly Amber"
Mitchell,"Troll Porter"
Mitchell,"Espresso Porter"
Jason,"Weizengold Hefefein"
Jason,"Full Moon Winter Ale"
Jason,"Trumpeter"
Jennifer,"Seriously Bad Elf"
Jennifer,"Triple Exultation Old Ale"
Nicholas,"Grand Cru"
Nicholas,"Coney Island Lager"
Nicholas,"Petrus Oud Bruin"
Briana,"Cardinal Pale Ale"
Briana,"Beer Geek Breakfast"
Briana,"Hitachino Nest Espresso Stout"
Briana,"Biere de Mars"
Faith,"Flemish Primitive Wild Ale (Spoon Whacker)"
Faith,"Cinder Cone Red"
Faith,"Petrus Speciale"
Melanie,"Yuengling Lager"
Melanie,"Leute Bok Bier"
Melanie,"Dark Ale"
Melanie,"Podge Belgian Imperial Stout"
Troy,"Winter Ale"
Troy,"Pabst Blue Ribbon"
Andrew,"Coney Island Lager"
Andrew,"Podge Belgian Imperial Stout"
Tina,"Zoetzuur Flemish Ale"
Tina,"God Jul - Winter Ale"
Tina,"Pabst Blue Ribbon"
Jose,"Hitachino Nest Espresso Stout"
Jose,"Cold Hop"
Vanessa,"Equinox Dark Belgian Winter"
Vanessa,"Nitro Porter"
Vanessa,"Duke IPA"
Vanessa,"Pale Ale"
Yvette,"Brunette Nut Brown Ale"
Yvette,"Hitachino Nest Real Ginger Brew"
Yvette,"Falcon Pale Ale"
Yvette,"Harvest Ale"
Yvette,"Saison Imperiale"
Brian,"Eisenbahn South American Pale Ale (S.A.P.A.)"
Brian,"Tanners Jack"
Brian,"Bigfoot 2005"
Brian,"La Divine Double Blond"
Kathleen,"Biere de Mars"
Kathleen,"Blue Moon"
Juan,"Morocco Ale"
Juan,"Old Bawdy 2006"
Megan,"Pabst Blue Ribbon"
Kayla,"Odell IPA"
Kayla,"Adriaan"
Kayla,"Flemish Primitive Wild Ale (Spoon Whacker)"
Roy,"Big Shot Seasonal Ale"
Roy,"Buzzsaw Brown"
Jacob,"Petrus Gouden Tripel Ale"
Jacob,"Ename Tripel"
Jacob,"Pabst Blue Ribbon"
Carlos,"Podge Belgian Imperial Stout"
Edwin,"Oatmeal Stout"
Edwin,"Old Stock Ale 2007"
Edwin,"Jenlain Blonde"
Morgan,"Sharptail Pale Ale"
Johnny,"Witkap-Pater Tripel"
Johnny,"Ename Tripel"
Johnny,"Fat Belly Amber"
Tammy,"Dos Equis"
Tammy,"Amstel"
Tammy,"American Pale Ale"
Melissa,"Bridal Ale 2005"
Melissa,"Chocolate Stout"
Kristi,"Bigfoot 2004"
Kristi,"Triple Exultation Old Ale"
Kristi,"Imperial Stout"
Kristi,"Nut Cracker Ale"
Colleen,"Bigfoot 2001"
Colleen,"Maracaibo Especial"
Colleen,"Bock"
Colleen,"Glacier Ale"
Earl,"Pale Ale"
Earl,"Lump of Coal Dark Holiday Stout"
Earl,"Witkap-Pater Tripel"
Albert,"Bigfoot 2002"
Chloe,"Festive Ale 2007"
Stacy,"Sandbagger Gold"
Stacy,"Oak Aged Ebenezer"
Stacy,"Steel Reserve"
Martin,"Cow Palace Scotch Ale 1998"
Martin,"Cocoa Porter"
Martin,"Grand Cru"
Martin,"Double India Pale Ale"
Luis,"Furious Beer"
Luis,"Morocco Ale"
Luis,"Christmas Ale 2007"
Luis,"Okocim Porter"
Mary,"Kriek"
Mary,"Zoetzuur Flemish Ale"
Jake,"Northern Light Lager"
Jake,"Nitro Porter"
Larry,"Nitro Porter"
Larry,"Biere de Mars"
Larry,"Kriek"
Larry,"Dos Equis"
Larry,"Okocim Porter"
Wyatt,"Beer Geek Breakfast"
Wyatt,"La Divine Double Blond"
Wyatt,"Slaapmutske Triple Nightcap"
Wyatt,"Framboise"
Anne,"Oak Aged IPA"
Anne,"God Jul - Winter Ale"
Anne,"Flemish Primitive Wild Ale (Spoon Whacker)"
Ashley,"Flemish Primitive Wild Ale (Pin Head)"
Ashley,"Grand Cru"
Ashley,"Bigfoot 2001"
Diane,"Grand Cru"
Diane,"Irish Style Ale"
Diane,"Petrus Speciale"
Paula,"Isolation Ale"
Paula,"La Divine Double Blond"
Paula,"Oak Aged Ebenezer"
Paula,"Equinox Dark Belgian Winter"
Kimberly,"Petrus Blond Ale"
Kimberly,"Old Stock Ale 2007"
Kimberly,"Cardinal Pale Ale"
Bryan,"Brunette Nut Brown Ale"
Bryan,"Petrus Speciale"
Bryan,"Old Stock Ale 2007"
Erica,"Leute Bok Bier"
Erica,"Jenlain Blonde"
Erica,"Adriaan"
Erica,"Bent Nail IPA"
Todd,"Bender Beer"
Jerry,"Saison Imperiale"
Jerry,"Calabaza Blanca"
Jerry,"Geist Bock"
Christy,"Grand Cru"
Christy,"Winter Ale"
Christy,"Old Stock Ale 2007"
Amber,"Kriek"
Amber,"Petrus Blond Ale"
Amber,"Bigfoot 2005"
Vicki,"Okocim Porter"
Vicki,"Weizengold Hefefein"
Collin,"Petrus Oud Bruin"
Collin,"Dos Equis"
Collin,"Ultrablonde"
Collin,"Crystal Ale"
Annette,"Blue Moon"
Annette,"Tanners Jack"
Annette,"Imperial Stout"
Annette,"Witte"
Jessica,"Icehouse"
Jessica,"Pale Ale"
Brenda,"Pabst Blue Ribbon"
Brenda,"Bender Beer"
Brenda,"Woody Organic IPA"
Marie,"Certified Organic Amber Ale"
Marie,"Podge Belgian Imperial Stout"
Marie,"Irish Style Ale"
Catherine,"Certified Organic India Pale Ale"
Catherine,"Ringwood Brewery Old Thumper Extra Special Ale"
Catherine,"Yeti Special Export"
Ashlee,"God Jul - Winter Ale"
Ashlee,"JuJu Ginger"
Ashlee,"Old Stock Ale 2007"
Ashlee,"Calabaza Blanca"
Ashlee,"Oktoberfest Weizen"
Abigail,"471 Extra ESB"
Abigail,"Saison Vielle Provision"
Debra,"Christmas Ale 2007"
Wendy,"Budweiser"
Danny,"Adriaan"
Danny,"Dos Equis"
Danny,"Glacier Ale"
Danny,"Zinnebir"
Sheila,"Old Guardian Barley Wine 2007"
Sheila,"Cocoa Porter"
Sheila,"Ultrablonde"
Sheila,"Long Leg English Fuggles Hop Ale"
Suzanne,"God Jul - Winter Ale"
Suzanne,"Certified Organic Porter"
Suzanne,"Budweiser"
Parker,"Duke IPA"
Parker,"Cocoa Porter"
Parker,"Winter"
Kelsey,"Nitro Porter"
Kelsey,"La Folie Falling Rock"
Gabriel,"Petrus Oud Bruin"
Gabriel,"Steel Reserve"
Gabriel,"Danger Ale"
Gabriel,"Zoetzuur Flemish Ale"
Dale,"Lump of Coal Dark Holiday Stout"
Dale,"Long Leg English Fuggles Hop Ale"
Dale,"Bender Beer"
Dale,"Fourteen"
Dale,"Triple Exultation Old Ale"
Jill,"Ringwood Brewery Old Thumper Extra Special Ale"
Jill,"Leute Bok Bier"
Jill,"Belgian Wit"
Ethan,"Morocco Ale"
Emily,"Yuengling Lager"
Emily,"Old Guardian Barley Wine 2007"
Emily,"Cinder Cone Red"
Gary,"Guinness"
Gary,"Framboise"
Gary,"Petrus Gouden Tripel Ale"
Gary,"Bent Nail IPA"
Matthew,"La Folie Falling Rock"
Jeff,"Bond Street 19th Anniversary"
Jeff,"Christmas Ale 2007"
Jeff,"Old Stock Ale 2007"
Jeff,"Podge Belgian Imperial Stout"
Brittany,"Petrus Gouden Tripel Ale"
Brittany,"Pale Ale"
Brittany,"Grand Cru"
Brittany,"Cow Palace Scotch Ale 1998"
Dana,"Petrus Gouden Tripel Ale"
Dana,"Organic Gingerbread Ale"
Ellen,"Triple Dipsea Belgian"
Ellen,"Double India Pale Ale"
Ellen,"Pannepot"
Ellen,"Winter Welcome 2007-2008"
Joyce,"Ringwood Brewery Old Thumper Extra Special Ale"
Joyce,"Eisenbahn South American Pale Ale (S.A.P.A.)"
Zachary,"God Jul - Winter Ale"
Zachary,"Haymaker Extra Pale Ale"
Zachary,"Oak Aged IPA"
Zachary,"Eisenbahn South American Pale Ale (S.A.P.A.)"
Jordan,"JuJu Ginger"
Jordan,"Flemish Primitive Wild Ale (Spoon Whacker)"
Jordan,"Long Leg English Fuggles Hop Ale"
Jordan,"Killer Penguin"
Gabrielle,"Morocco Ale"
Gabrielle,"Saison Imperiale"
Gabrielle,"Beer Geek Breakfast"
Jesus,"White Christmas"
Jesus,"Cinder Cone Red"
Jesus,"471 Extra ESB"
Richard,"Witte"
Richard,"La Divine Double Blond"
Richard,"American Pale Ale"
Meredith,"Equinox Dark Belgian Winter"
Meredith,"Hitachino Nest Real Ginger Brew"
Meredith,"Amstel"
Bridget,"Cocoa Porter"
Bridget,"Never Summer Ale"
Bridget,"Winter Ale"
Bridget,"Ultrablonde"
Sierra,"Full Moon Winter Ale"
Sierra,"Coney Island Lager"
Sierra,"Danger Ale"
Ryan,"Duke IPA"
Natalie,"Full Moon Winter Ale"
Natalie,"Cow Palace Scotch Ale 1998"
Natalie,"Obovoid Empirical Stout"
Anna,"Zinnebir"
Anna,"471 Extra ESB"
Anna,"Stillwater Rye"
Anna,"Irish Style Ale"
Bradley,"Petrus Blond Ale"
Bradley,"Old Boardhead 2006"
Bradley,"Flemish Primitive Wild Ale (Pin Head)"
Bradley,"Duke IPA"
Tyler,"Eisenbahn South American Pale Ale (S.A.P.A.)"
Tyler,"Ultrablonde"
Tyler,"Weizengold Hefefein"
Monica,"Steelie Brown Ale"
Monica,"Fat Belly Amber"
Monica,"Old Guardian Barley Wine 2007"
Brooke,"Trumpeter"
Brooke,"Odell IPA"
Brooke,"Saison Vielle Provision"
Brooke,"Cardinal Pale Ale"
Terri,"Guinness"
Terri,"Bigfoot 2003"
Terri,"Ename Tripel"
Harry,"Ultrablonde"
Harry,"Harvest Ale"
Harry,"Smoked Hefe"
Scott,"Lump of Coal Dark Holiday Stout"
Scott,"Triple Dipsea Belgian"
Scott,"Certified Organic India Pale Ale"
Jeremiah,"Bigfoot 2005"
Jeremiah,"Old Bawdy 2006"
Jeremiah,"Tanners Jack"
Jeremiah,"Trumpeter"
Tamara,"Old Guardian Barley Wine 2007"
Tamara,"Certified Organic India Pale Ale"
Tamara,"Steelie Brown Ale"
Tamara,"White Christmas"
Virginia,"Warm Welcome Nut Browned Ale"
Virginia,"Pannepot"
Virginia,"Oktoberfest Weizen"
Virginia,"Old Stock Ale 2007"
Virginia,"Icehouse"
Justin,"Certified Organic India Pale Ale"
Justin,"Glacier Ale"
Justin,"La Divine Tripel Amber"
Justin,"Witkap-Pater Tripel"
Justin,"Odell Red Ale"
Randy,"Furious Beer"
Randy,"Espresso Porter"
Randy,"Bridal Ale 2005"
Randy,"Strange Ghost"
Crystal,"Espresso Porter"
Crystal,"Petrus Blond Ale"
Crystal,"Chocolate Stout"
Crystal,"Brunette Nut Brown Ale"
Crystal,"Heineken"
Heather,"Oktoberfest Weizen"
Heather,"Budweiser"
Heather,"Corona"
Heather,"Cow Palace Scotch Ale 1998"
Heather,"Winter Welcome 2007-2008"
Heather,"Saison Vielle Provision"
William,"Saison Vielle Provision"
William,"Hitachino Nest Espresso Stout"
William,"Guinness"
William,"Eisenbahn South American Pale Ale (S.A.P.A.)"
Miguel,"Certified Organic India Pale Ale"
Miguel,"Nitro Porter"
Miguel,"Smoked Hefe"
Craig,"Harvest Ale 2002"
Craig,"Cow Palace Scotch Ale 1998"
Alyssa,"Podge Belgian Imperial Stout"
Alyssa,"Chocolate Stout"
Alyssa,"Equinox Dark Belgian Winter"
Alyssa,"Hitachino Nest Real Ginger Brew"
Casey,"Certified Organic Amber Ale"
Casey,"Canaster Winter Scotch"
Luke,"Witkap-Pater Tripel"
Luke,"Cardinal Pale Ale"
Desiree,"Sandbagger Gold"
Desiree,"Amstel"
Sheri,"Strange Ghost"
Sheri,"Bock"
Sheri,"Crystal Ale"
Sheri,"Petrus Speciale"
Bobby,"Oatmeal Stout"
Bobby,"Winter Ale"
Deborah,"Full Moon Winter Ale"
Reginald,"Grand Cru"
Reginald,"Porter"
Willie,"Bender Beer"
Willie,"Certified Organic Porter"
Willie,"Never Summer Ale"
Willie,"Petrus Blond Ale"
Willie,"OSB Premium Ale"
Sherry,"Tanners Jack"
Sherry,"Glacier Ale"
Sherry,"Pendle Witches Brew"
Kristen,"Crystal Ale"
Kristen,"Oak Aged Ebenezer"
Jeremy,"Robert the Bruce Scottish Ale"
Jeremy,"Steelie Brown Ale"
Carmen,"Big Shot Seasonal Ale"
Carmen,"Goosinator Smoked Doppelbock 2007"
Carmen,"Fourteen"
Connor,"Podge Belgian Imperial Stout"
Connor,"Bigfoot 2005"
Connor,"Winter Welcome 2007-2008"
Connor,"Saison Imperiale"
Connor,"Leute Bok Bier"
Noah,"Flemish Primitive Wild Ale (Spoon Whacker)"
Noah,"Zinnebir"
Noah,"White Christmas"
Noah,"Warrior IPA"
Blake,"Geist Bock"
Blake,"Cinder Cone Red"
Meagan,"Furious Beer"
Meagan,"Harvest Ale"
Meagan,"Goosinator Smoked Doppelbock 2007"
Meagan,"Sandbagger Gold"
Meagan,"Old Stock Ale 2007"
Dylan,"Festive Ale 2007"
Dylan,"Brunette Nut Brown Ale"
Dylan,"La Divine Tripel Amber"
Dylan,"Podge Belgian Imperial Stout"
Dylan,"Slaapmutske Triple Nightcap"
Cody,"Ringwood Brewery Old Thumper Extra Special Ale"
Cody,"Chocolate Stout"
Cody,"Calabaza Blanca"
Ann,"Amstel"
Ann,"Troll Porter"
Ann,"Calabaza Blanca"
Ann,"Isolation Ale"
Thomas,"Harvest Ale"
Thomas,"Adriaan"
Thomas,"Dark Ale"
Andrea,"Jenlain Blonde"
Tara,"Cardinal Pale Ale"
Tara,"Whitetail Wheat"
Tracy,"La Divine Tripel Amber"
Tracy,"Trumpeter"
Tracy,"Kerst Pater Special Christmas Beer"
Katherine,"Nut Cracker Ale"
Katherine,"Old Boardhead 2006"
Katherine,"Bigfoot 2001"
Katherine,"Furious Beer"
Jenna,"Ringwood Brewery Old Thumper Extra Special Ale"
Jenna,"Oatmeal Stout"
Jenna,"Festive Ale 2007"
Jenna,"La Divine Tripel Amber"
Dennis,"Adriaan"
Dennis,"Steelie Brown Ale"
Dennis,"Modern Monks Belgian Blonde"
Dennis,"Belgian Wit"
Dennis,"Pabst Blue Ribbon"
Lance,"Cold Hop"
Lance,"Long Leg English Fuggles Hop Ale"
Lance,"Goosinator Smoked Doppelbock 2007"
Joy,"Podge Belgian Imperial Stout"
Joy,"Long Leg English Fuggles Hop Ale"
Joy,"OSB Premium Ale"
Monique,"Oak Aged IPA"
Monique,"Crystal Ale"
Monique,"Christmas Ale 2007"
Heidi,"Crystal Ale"
Heidi,"Festive Ale 2007"
Joel,"471 Extra ESB"
Joel,"Cold Hop"
Joel,"Bigfoot 2004"
Joel,"Trumpeter"
Brandi,"Festive Ale 2007"
Brandi,"Jenlain Blonde"
Brandi,"Oak Aged IPA"
Autumn,"Hitachino Nest Espresso Stout"
Autumn,"Full Moon Winter Ale"
Glen,"Christmas Ale 2007"
Glen,"Irish Red"
Jack,"Winter Welcome 2007-2008"
Jack,"Irish Red"
Jack,"OSB Premium Ale"
Jack,"Pannepot"
Hailey,"Pannepot"
Hailey,"Icehouse"
Hailey,"Saison Vielle Provision"
Laura,"Okocim Porter"
Laura,"Witkap-Pater Tripel"
Allison,"Seriously Bad Elf"
Allison,"Brunette Nut Brown Ale"
Allison,"Geist Bock"
Mathew,"Bent Nail IPA"
Mathew,"Espresso Porter"
Mathew,"Bigfoot 2003"
Nathan,"La Moneuse"
Nathan,"Amstel"
Nathan,"American Pale Ale"
Nathan,"Morocco Ale"
Randall,"Bigfoot 2005"
Randall,"Slaapmutske Triple Nightcap"
Randall,"Hitachino Nest Espresso Stout"
Bill,"Ultrablonde"
Bill,"Double India Pale Ale"
Bill,"Festive Ale 2007"
Bill,"Organic Gingerbread Ale"
Phillip,"Nut Cracker Ale"
Phillip,"Steel Reserve"
Phillip,"Harvest Ale"
Phillip,"Morocco Ale"
Eric,"Old Bawdy 2006"
Eric,"Isolation Ale"
Eric,"La Moneuse"
Eric,"Hitachino Nest Espresso Stout"
Curtis,"Pabst Blue Ribbon"
Curtis,"Isolation Ale"
Curtis,"Witkap-Pater Tripel"
Curtis,"Full Moon Winter Ale"
Madison,"Imperial Stout"
Madison,"Duke IPA"
Madison,"Obovoid Empirical Stout"
Bonnie,"God Jul - Winter Ale"
Bonnie,"Hitachino Nest Real Ginger Brew"
Bonnie,"Odell IPA"
Lee,"Lump of Coal Dark Holiday Stout"
Lee,"Robert the Bruce Scottish Ale"
Lee,"Organic Gingerbread Ale"
Margaret,"Winter Ale"
Margaret,"Espresso Porter"
Charles,"Irish Red"
Charles,"Witkap-Pater Tripel"
Charles,"Gavroche French Red Ale"
Betty,"Dos Equis"
Betty,"Glacier Ale"
Betty,"Pride & Joy Mild Ale"
Betty,"Yuengling Lager"
Karen,"Bourbon County Stout 2007"
Karen,"Glacier Ale"
Karen,"Festive Ale 2007"
Karen,"Extra Strong Vintage Ale"
Karen,"Strange Ghost"
Tracey,"La Divine Tripel Amber"
Tracey,"La Folie Falling Rock"
Tracey,"Goosinator Smoked Doppelbock 2007"
Tracey,"Slaapmutske Triple Nightcap"
Jim,"Zoetzuur Flemish Ale"
Jim,"Mephistopheles Stout"
Jim,"Petrus Oud Bruin"
Jim,"Zinnebir"
Melinda,"Winter Ale"
Melinda,"Full Sail"
Vincent,"Amstel"
Vincent,"Whitetail Wheat"
Vincent,"Okocim Porter"
Belinda,"Certified Organic India Pale Ale"
Belinda,"Furious Beer"
Belinda,"Guinness"
Jared,"Long Leg English Fuggles Hop Ale"
Jared,"Pabst Blue Ribbon"
Rose,"Fat Belly Amber"
Rose,"God Jul - Winter Ale"
Wesley,"Danger Ale"
Wesley,"Bender Beer"
Wesley,"Modern Monks Belgian Blonde"
Misty,"Lump of Coal Dark Holiday Stout"
Misty,"Old Bawdy 2006"
Misty,"Double India Pale Ale"
Misty,"Carnegie Stark-Porter"
Misty,"Danger Ale"
Micheal,"Haymaker Extra Pale Ale"
Micheal,"Petrus Blond Ale"
Micheal,"Full Sail"
Micheal,"Ultrablonde"
Carrie,"Bigfoot 2001"
Carrie,"Old Bawdy 2006"
Carrie,"Jenlain Blonde"
Franklin,"Geist Bock"
Franklin,"Slaapmutske Triple Nightcap"
Franklin,"Saison Imperiale"
Russell,"Glacier Ale"
Russell,"Certified Organic Amber Ale"
Russell,"Cold Hop"
Russell,"Oak Aged Ebenezer"
Molly,"Whitetail Wheat"
Molly,"Coney Island Lager"
Molly,"Eisenbahn South American Pale Ale (S.A.P.A.)"
Alexandra,"Crystal Ale"
Alexandra,"Never Summer Ale"
Carolyn,"Crystal Ale"
Carolyn,"Bourbon County Stout 2007"
Carolyn,"Troll Porter"
Carolyn,"Oak Aged IPA"
Kelli,"Framboise"
Kelli,"Pabst Blue Ribbon"
Kelli,"Espresso Porter"
Alan,"Double India Pale Ale"
Shawn,"Saison Imperiale"
Shawn,"Trumpeter"
Shawn,"Imperial Hefeweizen"
Cassie,"Christmas Ale 2007"
